tên hàng hóa,danh mục,kết quả mong muốn
"Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/OfficeHS/Win11, máy tính xách tay văn phòng","[Máy tính & Laptop, Máy tính xách tay, Laptop gaming, Macbook Pro, Laptop văn phòng, Máy tính để bàn, Dell, HP, Lenovo, Laptop, Phụ kiện máy tính, Computer, Notebook, Laptop cho sinh viên, Laptop mỏng nhẹ, Máy tính core i5, Thiết bị IT, Đồ điện tử văn phòng, Laptop doanh nhân]",Laptop
"Tai nghe Bluetooth True Wireless Sony WF-1000XM5, chống ồn chủ động, Hi-Res Audio","[Âm thanh & Phụ kiện, Tai nghe Bluetooth, Loa di động, Tai nghe nhét tai, Phụ kiện âm thanh, Tai nghe chụp tai, Sony, Apple AirPods, JBL, Tai nghe, Đồ điện tử, Headphones, True Wireless, Earbuds, Tai nghe chống ồn, Thiết bị âm thanh cá nhân, Tai nghe không dây, tai nghe bluetooth, TWS]",Tai nghe
"Chuột không dây Silent Logitech M331, silent mouse siêu yên tĩnh cho văn phòng","[Phụ kiện máy tính, Bàn phím cơ, Phụ kiện máy tính & laptop, Chuột gaming, Lót chuột, Logitech, Razer, Chuột không dây, Thiết bị ngoại vi, Chuột máy tính, Apple Magic Mouse, Wireless Mouse, Phụ kiện văn phòng, Chuột máy tính logitech, Chuột công thái học, Chuột silent, IT hardware]",Chuột máy tính
"Màn hình máy tính LG 27UP850N-W 27 inch 4K UHD IPS, màn đồ họa chuyên nghiệp","[Thiết bị trình chiếu & Hiển thị, Màn hình gaming, Màn hình văn phòng, Màn hình đồ họa, Dell Ultrasharp, Samsung, LG, Màn hình cong, Màn hình máy tính, Phụ kiện PC, Viewsonic, Monitor, Màn hình 4K, Màn hình IPS, Linh kiện máy tính, Màn hình Type-C, Màn hình 27 inch]",Màn hình máy tính
"Ổ cứng SSD Samsung 980 PRO 1TB PCIe Gen 4.0 NVMe M.2, tốc độ cực cao cho game thủ","[Linh kiện máy tính, RAM, CPU, Mainboard, Ổ cứng di động, Ổ cứng SSD, Samsung, Kingston, Western Digital, HDD, Solid State Drive, Lưu trữ, Nâng cấp máy tính, PC components, Ổ cứng M.2, Ổ cứng NVMe, Linh kiện PC gaming, Build PC]",Ổ cứng SSD
"Nồi cơm điện tử cao tần Cuckoo 1.8L CRP-JHR1060FD, nồi cơm tách đường","[Đồ gia dụng nhà bếp, Nồi chiên không dầu, Lò vi sóng, Máy xay sinh tố, Nồi áp suất điện, Nồi cơm điện, Cuckoo, Sharp, Philips, Sunhouse, Rice Cooker, Thiết bị nhà bếp, Đồ điện gia dụng, Nồi cơm cao tần, Nồi cơm điện tử, Dụng cụ nấu ăn, Nồi hầm, Nồi lẩu điện]",Nồi cơm điện
"Tủ lạnh Samsung Inverter 655L Side by Side RS62R5001M9/SV, có lấy nước ngoài","[Điện gia dụng lớn, Máy giặt, Điều hòa nhiệt độ, Tủ đông, Tủ lạnh mini, Tủ lạnh, LG, Panasonic, Samsung, Beko, Điện máy, Refrigerator, Tủ lạnh side by side, Tủ lạnh 2 cánh, Tủ lạnh Inverter, Thiết bị bếp, Nội thất phòng bếp, Tủ lạnh không đóng tuyết]",Tủ lạnh
Máy giặt Electrolux UltimateCare 500 Inverter 10 kg cửa trước EWF1024BDWA,"[Thiết bị giặt ủi, Máy sấy quần áo, Máy giặt cửa trên, Bột giặt, Nước xả vải, Máy giặt, Electrolux, LG, Samsung, Aqua, Thiết bị gia đình, Washing Machine, Máy giặt cửa ngang, Máy giặt lồng ngang, Máy giặt Inverter, Chăm sóc quần áo, Tủ chăm sóc quần áo thông minh]",Máy giặt
"Thỏi son kem lì 3CE Velvet Lip Tint màu #Taupe, son 3ce auth đỏ nâu đất siêu hot","[Trang điểm, Mỹ phẩm, Kem nền, Phấn phủ, Chì kẻ mày, Son kem, Son thỏi, 3CE, MAC, Dior, Son môi, Lipstick, Makeup, Son lì, Son Hàn Quốc, Mỹ phẩm trang điểm, Son tint, Son hot trend, Đồ makeup, Son chính hãng]",Son môi
"Kem chống nắng La Roche-Posay Anthelios UVMUNE 400 Oil Control Gel-Cream 50ml, kcn cho da dầu","[Chăm sóc da mặt, Sữa rửa mặt, Toner, Serum, Kem dưỡng ẩm, Kem chống nắng, La Roche-Posay, Anessa, Innisfree, Vichy, Skincare, Sunscreen, Chăm sóc da dầu mụn, KCN, Mỹ phẩm Pháp, Dược mỹ phẩm, Sản phẩm chống nắng, Bảo vệ da]",Kem chống nắng
"Giày sneaker Nike Air Force 1 '07 LV8 auth full box, giày af1 trắng real","[Thời trang & Phụ kiện, Giày thể thao, Giày chạy bộ, Giày đá bóng, Dép, Sandal, Giày Nike, Adidas, Puma, Converse, Giày dép, Sneaker, Giày trắng, Giày da, Giày thời trang, Giày nam, Giày nữ, Footwear, Giày chính hãng]",Giày sneaker
"Sách self-help 'Đắc Nhân Tâm' - Dale Carnegie, sách kỹ năng sống bán chạy nhất","[Sách & Tạp chí, Tiểu thuyết, Sách self-help, Truyện tranh, Sách kinh tế, Sách văn học, Sách, Nhã Nam, Fahasa, Tiki, Sách mới, Book, Sách kỹ năng mềm, Sách phát triển bản thân, Sách kinh doanh, Sách hay nên đọc, Nhà sách online, Tủ sách]",Sách
"Vé xem phim bom tấn 'Godzilla x Kong' tại cụm rạp CGV, vé 2D cuối tuần","[Giải trí & Sự kiện, Vé concert, Voucher ăn uống, Vé xem kịch, Vé xem phim, CGV, Lotte Cinema, BHD, Galaxy Cinema, Phim chiếu rạp, Movie Ticket, E-voucher, Sự kiện giải trí, Đặt vé online, Vé xem phim 2D, Vé xem phim 3D]",Vé xem phim
"Viên uống dầu cá Blackmores Omega Daily Concentrated Fish Oil 90v, TPCN bổ sung omega 3","[Thực phẩm chức năng & Vitamin, Vitamin C, Collagen, Thuốc bổ, Sữa ong chúa, Thực phẩm chức năng, Blackmores, DHC, Kirkland, Healthy Care, Vitamin, Supplement, Dầu cá, Omega 3, TPCN, Hỗ trợ sức khỏe, Thực phẩm bảo vệ sức khỏe, Vitamin tổng hợp]",Thực phẩm chức năng
"Cà phê hòa tan G7 3in1 Trung Nguyên (bịch 50 gói), cafe sữa ngon đậm vị","[Đồ uống & Cà phê, Cà phê rang xay, Trà túi lọc, Nước ngọt, Nước suối, Cà phê, G7, Nescafe, Vinacafe, Highlands, Đồ uống liền, Coffee, Instant Coffee, Cà phê sữa, Cà phê 3 trong 1, Thức uống, Đồ uống hòa tan, Cà phê gói]",Cà phê
"Bánh quy socola kẹp kem Oreo vani double stuff, bánh oreo nhân đôi kem","[Bánh kẹo & Snack, Snack khoai tây, Bánh gạo, Kẹo dẻo, Socola, Bánh quy, Oreo, Cosy, Kinh Đô, Danisa, Cookie, Bánh ngọt, Đồ ăn vặt, Bánh kẹo nhập khẩu, Bánh socola, Bánh kẹp kem, Bánh quy sữa]",Bánh quy
"Sữa tắm Lifebuoy Bảo vệ Vượt trội 10 chai 850g, sữa tắm sạch khuẩn cho cả gia đình","[Sản phẩm tắm & Dưỡng thể, Xà phòng cục, Sữa rửa mặt, Dầu gội, Sữa tắm, Lifebuoy, Dove, Enchanteur, Lux, Hazeline, Chăm sóc cơ thể, Body Wash, Sữa tắm kháng khuẩn, Sữa tắm dưỡng ẩm, Gel tắm, Xà bông, Personal Hygiene]",Sữa tắm
"Khăn mặt cotton 100% Muji face towel mềm mịn, thấm hút tốt, size 34x85cm","[Đồ dùng phòng tắm & Nhà cửa, Khăn tắm, Đồ dùng phòng tắm, Thảm chùi chân, Áo choàng tắm, Khăn mặt, Muji, H&M Home, Zara Home, Ikea, Khăn, Towel, Khăn cotton, Khăn lau mặt, Đồ dùng khách sạn, Phụ kiện phòng tắm, Khăn tre]",Khăn mặt
"Gạo ST25 Ông Cua chính hiệu, túi 5kg, gạo ngon nhất thế giới","[Nhu yếu phẩm & Lương thực, Nước mắm, Đường, Muối, Dầu ăn, Gạo, ST25, Gạo lứt, Gạo nếp, Lương thực, Rice, Nông sản, Thực phẩm cơ bản, Gạo dẻo thơm, Gạo đặc sản, Gạo sạch, Gạo ngon]",Gạo
"Vỉ 10 trứng gà ta so Dabaco, trứng gà tươi sạch, Dabaco","[Thực phẩm tươi sống, Thịt heo, Rau củ quả, Hải sản, Trái cây, Trứng gà, Trứng vịt, Trứng cút, Dabaco, CP, Fresh Food, Trứng gia cầm, Thực phẩm hàng ngày, Nông sản sạch, Trứng gà công nghiệp, Trứng gà so]",Trứng gà
"Nước hoa nam Dior Sauvage Elixir 60ml, nồng độ Extrait de Parfum, lưu hương cực lâu","[Nước hoa & Khử mùi, Nước hoa nam, Nước hoa nữ, Xịt khử mùi, Lăn khử mùi, Nước hoa, Dior, Chanel, Gucci, Versace, Mỹ phẩm cao cấp, Perfume, Fragrance, Nước hoa chính hãng, Nước hoa chiết, Nước hoa cao cấp, Mùi hương nam tính]",Nước hoa
"Kính mát Ray-Ban Aviator Classic G-15, gọng vàng, tròng xanh rêu, kính râm phi công","[Phụ kiện thời trang, Kính cận, Gọng kính, Tròng kính, Kính áp tròng, Kính râm, Ray-Ban, Oakley, Gentle Monster, Kính thời trang, Mắt kính, Sunglasses, Kính phi công, Kính chống tia UV, Kính mắt nam, Kính mắt nữ]",Kính râm
"Đồng hồ Casio G-Shock GA-2100-1A1DR 'CasiOak', đồng hồ nam thể thao, chống sốc, chống nước 200M","[Đồng hồ & Trang sức, Đồng hồ thông minh, Đồng hồ cơ, Đồng hồ nam, Đồng hồ nữ, Dây đồng hồ, Đồng hồ, Casio, Seiko, Tissot, Citizen, Watch, Đồng hồ thể thao, Đồng hồ điện tử, Đồng hồ chống nước, Đồng hồ thời trang]",Đồng hồ
"Vali kéo du lịch Ricardo size 20 inch (xách tay), vỏ nhựa PC, bánh xe xoay 360","[Hành lý & Du lịch, Balo, Túi xách, Cặp laptop, Túi đeo chéo, Vali, Lock&Lock, Samsonite, American Tourister, Ricardo, Hành lý, Luggage, Vali kéo, Vali size cabin, Vali nhựa, Vali thời trang, Phụ kiện du lịch]",Vali
"Máy ảnh Mirrorless Sony Alpha a7 IV (chỉ body), full-frame 33MP, quay video 4K","[Máy ảnh & Máy quay phim, Máy ảnh DSLR, Máy ảnh mirrorless, Ống kính máy ảnh, Phụ kiện máy ảnh, Thẻ nhớ, Máy ảnh, Sony, Canon, Nikon, Fujifilm, Camera, Máy ảnh kỹ thuật số, Máy ảnh chuyên nghiệp, Máy ảnh full-frame, Thiết bị nhiếp ảnh]",Máy ảnh
"Hộp 10 bút bi Thiên Long TL-027 0.5mm màu xanh, bút bi quốc dân siêu bền","[Văn phòng phẩm, Dụng cụ học tập, Bút chì, Tẩy, Thước kẻ, Vở viết, Bút bi, Thiên Long, Deli, Pentel, Văn phòng phẩm, Stationery, Bút mực, Bút gel, Bút ký, Đồ dùng văn phòng, Dụng cụ học sinh]",Bút bi
"Ghế xoay văn phòng Hòa Phát GL327, ghế lưới công thái học, ngả lưng, có tựa đầu","[Nội thất, Bàn làm việc, Tủ tài liệu, Kệ sách, Ghế gaming, Ghế văn phòng, Hòa Phát, The One, Xuân Hòa, Ikea, Furniture, Ghế công thái học, Ghế xoay, Ghế giám đốc, Nội thất văn phòng, Bàn ghế làm việc]",Ghế văn phòng
"Smart Tivi Samsung 4K Crystal UHD 65 inch UA65AU8000, TV thông minh, viền mỏng","[Tivi & Thiết bị nghe nhìn, Tivi Sony, Tivi LG, Android TV, Tivi 4K, Tivi 8K, Smart Tivi, Tivi, Samsung, Sony, LG, Television, Tivi màn hình lớn, Tivi thông minh, Tivi QLED, Tivi OLED, Rạp hát tại gia]",Tivi
"Dàn loa thanh soundbar Sony HT-S400 2.1ch, công suất 330W, có loa sub không dây","[Thiết bị âm thanh gia đình, Amply, Loa kéo, Tai nghe, Dàn âm thanh, Loa soundbar, Sony, Samsung, LG, JBL, Home Audio, Loa thanh, Dàn loa 5.1, Hệ thống âm thanh, Loa tivi, Soundbar]",Loa soundbar
"Máy hút bụi cầm tay không dây Dyson V12 Detect Slim Total Clean, lực hút mạnh, có laser","[Thiết bị dọn dẹp nhà cửa, Robot hút bụi, Máy lau nhà, Máy hút bụi công nghiệp, Cây lau nhà, Máy hút bụi, Dyson, Xiaomi, Philips, Electrolux, Gia dụng thông minh, Vacuum Cleaner, Máy hút bụi không dây, Máy hút bụi cầm tay, Thiết bị vệ sinh]",Máy hút bụi
"SRM Cetaphil Gentle Skin Cleanser 500ml, sữa rửa mặt dịu nhẹ cho da nhạy cảm","[Sản phẩm cho da nhạy cảm, Toner, Kem dưỡng, Serum, Nước tẩy trang, Sữa rửa mặt, Cetaphil, Simple, Cerave, La Roche-Posay, Cleanser, Sữa rửa mặt cho da nhạy cảm, SRM, Chăm sóc da cơ bản, Mỹ phẩm cho da nhạy cảm, Dược mỹ phẩm]",Sữa rửa mặt
"Quần jean nam ống đứng (slim-fit) Levi's 511, chất jean co giãn, màu xanh đậm","[Trang phục nam, Quần short, Quần kaki, Quần tây, Quần jogger, Quần jean, Levi's, Zara, H&M, Uniqlo, Thời trang nam, Jeans, Quần bò, Quần jean ống côn, Quần jean rách, Quần jean nam cao cấp, Denim]",Quần jean
"Váy đầm công sở NEM fashion dáng chữ A, tay lỡ, màu xanh navy, V6543","[Thời trang nữ, Chân váy, Áo sơ mi nữ, Áo kiểu, Jumpsuit, Váy đầm, Elly, IVY moda, NEM, Eva de Eva, Thời trang nữ, Dress, Váy công sở, Đầm dự tiệc, Váy chữ A, Váy liền thân, Váy thiết kế]",Váy đầm
"Thảm tập Yoga TPE 2 lớp 8mm, có vạch định tuyến, chống trơn trượt, kèm túi đựng","[Dụng cụ thể thao & Dã ngoại, Tạ tay, Dây kháng lực, Quần áo tập gym, Giày thể thao, Thảm yoga, Liforme, Manduka, Adidas, Nike, Yoga Mat, Dụng cụ tập yoga, Thảm tập gym, Dụng cụ thể hình, Phụ kiện thể thao]",Thảm yoga
"Bình giữ nhiệt Lock&Lock Metro Mug 600ml LHC4282, inox 316, giữ nhiệt nóng lạnh","[Bình nước & Hộp cơm, Bình nước thể thao, Ly giữ nhiệt, Hộp cơm văn phòng, Đồ dùng nhà bếp, Hộp đựng thực phẩm, Bình giữ nhiệt, Lock&Lock, Elmich, Zebra, Thermos, Tumbler, Bình giữ nhiệt inox, Bình đựng nước, Phụ kiện dã ngoại]",Bình giữ nhiệt
"Hộp 100g Yến sào tinh chế Thượng Vy Yến, tổ yến sạch lông, nguyên chất","[Thực phẩm bổ dưỡng, Nhân sâm Hàn Quốc, Linh chi, Đông trùng hạ thảo, Yến sào, Yến sào Khánh Hòa, Nutri Nest, Anpha, Quà biếu sức khỏe, Thực phẩm cao cấp, Bird's Nest, Thực phẩm bồi bổ, Quà tặng sức khỏe, Yến hũ, Yến thô]",Yến sào
"Chai rượu vang đỏ Chile Montes Alpha Cabernet Sauvignon, 750ml, nồng độ 14.5%","[Đồ uống có cồn, Bia, Rượu mạnh, Nước giải khát, Rượu vang trắng, Rượu vang, Vang Chile, Vang Pháp, Vang Ý, Jacob's Creek, Đồ uống có cồn, Wine, Red Wine, Rượu vang nhập khẩu, Rượu vang biếu tết, Rượu nho]",Rượu vang
"Dầu ăn thượng hạng Neptune Gold 1L, sự kết hợp của 3 loại dầu tự nhiên","[Gia vị & Dầu ăn, Gia vị nấu ăn, Nước mắm, Muối, Đường, Bột ngọt, Dầu ăn, Neptune, Tường An, Meizan, Simply, Cooking Oil, Dầu thực vật, Dầu đậu nành, Dầu gạo lứt, Dầu hướng dương, Dầu ô liu]",Dầu ăn
"Thuốc ho Prospan dạng siro chiết xuất lá thường xuân, chai 100ml, dùng cho trẻ em và người lớn","[Thuốc & Chăm sóc sức khỏe, Thuốc cảm cúm, Vitamin & Khoáng chất, Thuốc đau đầu, Dụng cụ y tế, Thực phẩm chức năng, Thuốc ho, Prospan, siro ho, Bổ phế Nam Hà, TPCN, Cough Syrup, Thuốc không kê đơn, Nhà thuốc online, Siro thảo dược]",Thuốc ho
"Hộp bánh trung thu Kinh Đô Trăng Vàng Hồng Ngọc An Phú (4 bánh x 160g), bánh nướng","[Quà tặng & Lễ hội, Bánh kẹo, Quà biếu Tết, Lễ hội, Bánh dẻo, Bánh nướng, Bánh trung thu, Kinh Đô, Givral, Brodard, Maison, Mooncake, Quà tặng trung thu, Bánh trung thu cao cấp, Bánh trung thu thập cẩm]",Bánh trung thu
"Kem que Celano Socola Phủ Hạt, lốc 5 que, kem Merino","[Thực phẩm đông lạnh, Đồ ăn vặt, Sữa chua, Phô mai, Bơ, Kem, Merino, Celano, Wall's, Vinamilk, Ice Cream, Kem cây, Kem hộp, Đồ ăn giải nhiệt, Tráng miệng, Thực phẩm trữ đông, Kem que]",Kem
"USB 3.2 Kingston 128GB DataTraveler Exodia, USB lưu trữ dữ liệu","[Thiết bị lưu trữ, Thẻ nhớ, Ổ cứng di động, Phụ kiện máy tính, Thiết bị lưu trữ, USB, Kingston, SanDisk, Toshiba, Transcend, Flash drive, USB 3.0, Lưu trữ di động, USB chính hãng, Phụ kiện IT]",USB
"Sạc dự phòng Anker PowerCore Essential 20000 PD, pin sạc dự phòng 20W, sạc nhanh","[Phụ kiện điện thoại di động, Củ sạc, Cáp sạc, Pin điện thoại, Sạc không dây, Pin dự phòng, Anker, Xiaomi, Samsung, Aukey, Energizer, Power Bank, Sạc dự phòng dung lượng cao, Sạc nhanh PD, Phụ kiện du lịch]",Pin dự phòng
"Lốc 6 lon nước tăng lực Red Bull 250ml, redbull bò cụng","[Nước giải khát, Nước ngọt có ga, Nước suối, Trà xanh đóng chai, Nước ép trái cây, Nước tăng lực, Red Bull, Sting, Monster, Number 1, Nước giải khát, Energy Drink, Đồ uống, Nước uống có ga, Thức uống năng lượng]",Nước tăng lực
"Hộp 10 bao cao su Durex Invisible, loại siêu mỏng, bcs, BCS","[Sức khỏe tình dục, Gel bôi trơn, Đồ chơi người lớn, Bao cao su mỏng, Bao cao su, Durex, Sagami, Okamoto, Trojan, Kế hoạch hóa gia đình, Condom, Bao cao su kéo dài thời gian, Biện pháp tránh thai, Sản phẩm hỗ trợ]",Bao cao su
"Hộp 50 khẩu trang y tế 4 lớp kháng khuẩn N95, có nẹp mũi, lọc bụi mịn","[Vật tư y tế, Nước rửa tay khô, Cồn sát khuẩn, Găng tay y tế, Đồ bảo hộ, Khẩu trang, N95, 3M, Unicharm, Pitta, Thiết bị y tế, Face Mask, Khẩu trang kháng khuẩn, Khẩu trang 3D, Dụng cụ phòng dịch]",Khẩu trang
"Áo mưa bộ GIVI RRS07, chống thấm tuyệt đối, có phản quang, đồ đi phượt","[Trang phục đi mưa & Dã ngoại, Ô dù, Nón bảo hiểm, Găng tay xe máy, Giáp bảo hộ, Áo mưa, GIVI, The North Face, Columbia, Phụ kiện đi mưa, Đồ phượt, Raincoat, Áo mưa bộ, Áo mưa cao cấp, Trang bị đi tour]",Áo mưa
"Lăn khử mùi cho nam Nivea Men Cool Kick 50ml, lăn nách hương bạc hà mát lạnh","[Sản phẩm khử mùi nam, Xịt khử mùi, Nước hoa, Sữa tắm nam, Lăn nách, Lăn khử mùi, Nivea, Rexona, Old Spice, Romano, AXE, Deodorant, Lăn khử mùi nam, Lăn ngăn mồ hôi, Chăm sóc cá nhân cho nam]",Lăn khử mùi
"Bếp từ đôi âm Kangaroo KG856i, mặt kính Ceramic, điều khiển cảm ứng, inverter","[Thiết bị nhà bếp, Bếp gas, Lò nướng, Máy hút mùi, Bếp hồng ngoại, Bếp từ, Sunhouse, Kangaroo, Bosch, Electrolux, Thiết bị nhà bếp, Induction Cooker, Bếp điện, Bếp từ đôi, Bếp âm, Nội thất bếp]",Bếp từ
"Máy lọc nước RO Kangaroo KG10A4 VTU 10 lõi, có vòi nóng lạnh, máy lọc nước gia đình","[Máy lọc nước & Cây nước nóng lạnh, Cây nước nóng lạnh, Lõi lọc nước, Bình lọc nước, Máy lọc không khí, Máy lọc nước, Kangaroo, Karofi, A. O. Smith, Sunhouse, Gia dụng, Water Purifier, Máy lọc nước RO, Máy lọc nước nóng lạnh, Thiết bị xử lý nước]",Máy lọc nước
"Đèn bàn học sinh LED chống cận Rạng Đông RD-RL-36.LED, ánh sáng vàng/trắng","[Đèn & Thiết bị chiếu sáng, Đèn ngủ, Đèn trang trí, Bóng đèn, Đèn pin, Đèn bàn, Rạng Đông, Philips, Điện Quang, Xiaomi, Đèn học, Desk Lamp, Đèn LED, Đèn chống cận, Đèn làm việc, Đèn đọc sách]",Đèn bàn
"Xe đạp địa hình MTB Giant Talon 2 29 inch, khung nhôm, phanh đĩa dầu","[Xe đạp & Phụ kiện, Xe đạp thành phố, Xe đạp đua, Xe đạp trẻ em, Phụ kiện xe đạp, Xe đạp, Giant, Trek, Specialized, Martin 107, Phương tiện đi lại, Bicycle, Mountain Bike, Xe đạp thể thao, Xe đạp leo núi]",Xe đạp
"Túi 200g Khô heo cháy tỏi nhà làm, đồ ăn vặt, đặc sản, mồi nhậu bén","[Đồ ăn vặt chế biến sẵn, Heo khô, Khô gà, Khô bò, Da heo chiên giòn, Hạt dinh dưỡng, Heo khô, Ăn vặt văn phòng, Đặc sản, Thực phẩm chế biến, Món nhậu, Snack, Đồ ăn vặt cay, Đặc sản vùng miền]",Heo khô
"Ly trà sữa trân châu đường đen The Alley size M, tcdd, đồ uống hot trend","[Trà & Trà sữa, Đồ uống, Sinh tố, Nước ép, Cà phê, Trà đào, Trà sữa, Gong Cha, Koi Thé, The Alley, Phúc Long, Bubble Tea, Milk Tea, Trà sữa Đài Loan, Đồ uống giới trẻ, Trân châu đường đen]",Trà sữa
"Combo 10 đôi vớ nam cổ ngắn, chất cotton, kháng khuẩn, khử mùi, co giãn","[Tất & Phụ kiện, Vớ, Phụ kiện thời trang, Tất nữ, Tất trẻ em, Tất thể thao, Tất, Uniqlo, H&M, Nike, Adidas, Socks, Tất nam, Vớ cổ cao, Vớ lười, Tất công sở]",Tất
"Cáp sạc nhanh Baseus Type-C to Lightning 20W, dây dù siêu bền, cho iPhone/iPad","[Cáp sạc & Bộ sạc, Cáp sạc Micro USB, Củ sạc, Sạc dự phòng, Cáp sạc Type-C, Phụ kiện điện thoại, Cáp sạc, Baseus, Anker, Aukey, Ugreen, Charging Cable, Cáp sạc iPhone, Dây sạc nhanh, Cáp Lightning]",Cáp sạc
