query,expected,adaptive_lexical_pred,adaptive_lexical_score,adaptive_lexical_correct,adaptive_lexical_specificity,adaptive_lexical_overlap,adaptive_semantic_pred,adaptive_semantic_score,adaptive_semantic_correct,adaptive_semantic_specificity,adaptive_semantic_overlap
Thịt heo ba rọi,Thịt ba rọi,thịt ba rọi,0.9714395999908447,True,1.6094379124341003,3,thịt ba rọi,0.9714385271072388,True,1.6094379124341003,3
Cá diêu hồng,Cá diêu hồng,cá diêu hồng,0.9433597922325134,True,1.6094379124341003,3,cá diêu hồng,0.9433597922325134,True,1.6094379124341003,3
Rau muống,Rau muống,rau muống,0.9114264845848083,True,1.6094379124341003,2,rau muống,0.9114264845848083,True,1.6094379124341003,2
Nước lọc Aquafina,Nước tinh khiết,nước tinh khiết,0.05401287600398064,True,1.6094379124341003,1,nước tinh khiết,0.05401287600398064,True,1.6094379124341003,1
q.tây,Quần tây,quần tây,0.6052110195159912,True,1.6094379124341003,1,quần tây,0.6052033305168152,True,1.6094379124341003,1
nc hoa chanel,Nước hoa chanel,nước hoa chanel,0.9334740042686462,True,1.6094379124341003,2,nước hoa chanel,0.9334728717803955,True,1.6094379124341003,2
son d.,Son môi,son kem,0.7080737352371216,False,1.6094379124341003,1,son kem,0.7080737352371216,False,1.6094379124341003,1
ao thun AD,Áo thun,áo thun,0.5164754390716553,True,1.6094379124341003,1,áo thun,0.5164754390716553,True,1.6094379124341003,1
Giày NK,Giày thể thao,giày da,0.1222313940525055,False,1.6094379124341003,1,giày da,0.12222903966903687,False,1.6094379124341003,1
Túi GC,Túi xách,túi xách,0.16201043128967285,True,1.6094379124341003,1,túi xách,0.16200914978981018,True,1.6094379124341003,1
Kính RB,Kính râm,kính mát,0.29988589882850647,False,1.6094379124341003,1,kính mát,0.29988589882850647,False,1.6094379124341003,1
Đồng hồ DW,Đồng hồ DW,đồng hồ DW,0.9780022501945496,True,1.6094379124341003,3,đồng hồ DW,0.9780022501945496,True,1.6094379124341003,3
Iphone 15 prm,Điện thoại Iphone,điện thoại Iphone,0.023688452318310738,True,1.6094379124341003,1,điện thoại Iphone,0.023688944056630135,True,1.6094379124341003,1
Laptop Dell Vostro,Laptop Dell,Laptop Dell,0.15743377804756165,True,1.6094379124341003,2,Laptop Dell,0.15743377804756165,True,1.6094379124341003,2
Tai nghe Sony WF-1000XM5,Tai nghe true wireless,tai nghe Sony,0.325314998626709,False,1.6094379124341003,3,tai nghe Sony,0.325314998626709,False,1.6094379124341003,3
Sạc dự phòng Anker,Sạc dự phòng,sạc dự phòng,0.5725710391998291,True,1.6094379124341003,3,sạc dự phòng,0.5725710391998291,True,1.6094379124341003,3
Chuột Logitech MX Master 3,Chuột không dây,chuột Logitech,0.2377862185239792,False,1.6094379124341003,2,chuột Logitech,0.2377862185239792,False,1.6094379124341003,2
Bàn phím cơ Filco,Bàn phím cơ,bàn phím cơ,0.4790053367614746,True,0.916290731874155,3,bàn phím cơ,0.4790053367614746,True,0.916290731874155,3
Màn hình LG UltraGear,Màn hình LG,Màn hình LG,0.3829940855503082,True,1.6094379124341003,3,Màn hình LG,0.3829940855503082,True,1.6094379124341003,3
Tivi Sony 4K,Tivi Sony,Tivi Sony,0.2838189899921417,True,1.6094379124341003,2,Tivi Sony,0.2838189899921417,True,1.6094379124341003,2
Tủ lạnh Panasonic Inverter,Tủ lạnh Panasonic,tủ lạnh Panasonic,0.4789488911628723,True,1.6094379124341003,3,tủ lạnh Panasonic,0.4789488911628723,True,1.6094379124341003,3
Máy giặt LG AI DD,Máy giặt LG,máy giặt LG,0.5614808201789856,True,1.6094379124341003,3,máy giặt LG,0.5614808201789856,True,1.6094379124341003,3
Điều hòa Daikin,Điều hòa Daikin,điều hòa Daikin,0.9367273449897766,True,1.6094379124341003,3,điều hòa Daikin,0.9367273449897766,True,1.6094379124341003,3
Bếp từ Bosch,Bếp từ,bếp từ Bosch,0.8362664580345154,False,1.6094379124341003,3,bếp từ Bosch,0.8362664580345154,False,1.6094379124341003,3
Lò vi sóng Sharp,Lò vi sóng,lò vi sóng Sharp,0.9492253065109253,False,1.6094379124341003,4,lò vi sóng Sharp,0.9492253065109253,False,1.6094379124341003,4
Nồi cơm điện Cuckoo,Nồi cơm điện Cuckoo,nồi cơm Cuckoo,0.9369218349456787,False,1.6094379124341003,3,nồi cơm Cuckoo,0.9369218349456787,False,1.6094379124341003,3
Máy hút bụi Dyson,Máy hút bụi cầm tay,máy hút bụi Dyson,0.9860519766807556,False,1.6094379124341003,4,máy hút bụi Dyson,0.9860519766807556,False,1.6094379124341003,4
Máy lọc không khí Xiaomi,Máy lọc không khí,máy lọc không khí Xiaomi,0.9835657477378845,False,1.6094379124341003,5,máy lọc không khí Xiaomi,0.9835657477378845,False,1.6094379124341003,5
Quạt cây Mitsubishi,Quạt cây,quạt cây,0.5313048362731934,True,1.6094379124341003,2,quạt cây,0.5313048362731934,True,1.6094379124341003,2
Bàn là Philips,Bàn là hơi nước,bàn là Philips,0.9396679997444153,False,1.6094379124341003,3,bàn là Philips,0.9396679997444153,False,1.6094379124341003,3
Thuốc ho Prospan,Thuốc ho,thuốc ho,0.6851752400398254,True,1.6094379124341003,2,thuốc ho,0.6851752400398254,True,1.6094379124341003,2
Vitamin C DHC,Vitamin C,Vitamin C,0.15614499151706696,True,1.6094379124341003,2,Vitamin C,0.15614499151706696,True,1.6094379124341003,2
Sữa rửa mặt Cetaphil,Sữa rửa mặt,Sữa rửa mặt,0.4876221716403961,True,1.6094379124341003,3,Sữa rửa mặt,0.4876221716403961,True,1.6094379124341003,3
Kem chống nắng Anessa,Kem chống nắng Anessa,kem chống nắng Anessa,0.9944885969161987,True,1.6094379124341003,4,kem chống nắng Anessa,0.9944885969161987,True,1.6094379124341003,4
Mặt nạ SK-II,Mặt nạ giấy,mặt nạ SK-II,0.9736145734786987,False,1.6094379124341003,4,mặt nạ SK-II,0.9736145734786987,False,1.6094379124341003,4
Tẩy trang Bioderma,Nước tẩy trang,tẩy trang Bioderma,0.9767634272575378,False,1.6094379124341003,3,tẩy trang Bioderma,0.9767634272575378,False,1.6094379124341003,3
Bút bi Thiên Long,Bút bi,Bút bi,0.48166623711586,True,1.6094379124341003,2,Bút bi,0.48166623711586,True,1.6094379124341003,2
Vở kẻ ngang Campus,Vở kẻ ngang,vở kẻ ngang,0.5708075761795044,True,1.6094379124341003,3,vở kẻ ngang,0.5708075761795044,True,1.6094379124341003,3
Sách Đắc Nhân Tâm,Sách kỹ năng sống,sách kỹ năng sống,0.030628353357315063,True,1.6094379124341003,1,sách kỹ năng sống,0.030627727508544922,True,1.6094379124341003,1
Tã dán Bobby Newborn,Tã dán,Tã dán,0.5953758955001831,True,1.6094379124341003,2,Tã dán,0.5953758955001831,True,1.6094379124341003,2
Sữa bột Friso Gold,Sữa bột cho bé,sữa Friso,0.7488093972206116,False,1.6094379124341003,2,sữa Friso,0.7488093972206116,False,1.6094379124341003,2
Xe đẩy Combi,Xe đẩy,Xe đẩy,0.41292473673820496,True,1.6094379124341003,2,Xe đẩy,0.41292473673820496,True,1.6094379124341003,2
Đồ chơi Lego,Đồ chơi xếp hình,Lego,0.3371986448764801,False,1.6094379124341003,1,Lego,0.33719930052757263,False,1.6094379124341003,1
Bỉm ng lớn Caryn,Tã dán ng lớn,tã quần ng lớn,0.23585714399814606,False,1.6094379124341003,2,tã quần ng lớn,0.23585696518421173,False,1.6094379124341003,2
Nước yến sào Sanest,Nước yến,nước yến,0.3730407953262329,True,1.6094379124341003,2,nước yến,0.3730407953262329,True,1.6094379124341003,2
Thực phẩm chức năng Blackmores,Thực phẩm chức năng,thực phẩm chức năng,0.4775327742099762,True,1.6094379124341003,4,thực phẩm chức năng,0.4775327742099762,True,1.6094379124341003,4
Bao cao su Durex,Bao cao su,Bao cao su,0.268454372882843,True,1.6094379124341003,3,Bao cao su,0.268454372882843,True,1.6094379124341003,3
Cà phê phin Trung Nguyên,Cà phê phin,cà phê phin,0.2443392127752304,True,1.6094379124341003,3,cà phê phin,0.2443392127752304,True,1.6094379124341003,3
Lạp xưởng Mai Quế Lộ,Lạp xưởng,lạp xưởng,0.4463637173175812,True,1.6094379124341003,2,lạp xưởng,0.4463637173175812,True,1.6094379124341003,2
Dầu gió xanh Thiên Thảo,Dầu gió,dầu gió,0.2459080070257187,True,1.6094379124341003,2,dầu gió,0.2459080070257187,True,1.6094379124341003,2
Kem nghệ Thorakao,Kem nghệ,kem nghệ,0.7389525175094604,True,1.6094379124341003,2,kem nghệ,0.7389525175094604,True,1.6094379124341003,2
Nước súc miệng Listerine,Nước súc miệng,nước súc miệng,0.7253580689430237,True,1.6094379124341003,3,nước súc miệng,0.7253580689430237,True,1.6094379124341003,3
Bông tẩy trang Ipek,Bông tẩy trang,bông tẩy trang,0.5124579071998596,True,1.6094379124341003,3,bông tẩy trang,0.5124579071998596,True,1.6094379124341003,3
Dao cạo râu Gillette,Dao cạo,Dao cạo,0.3693299889564514,True,1.6094379124341003,2,Dao cạo,0.3693299889564514,True,1.6094379124341003,2
Lăn khử mùi Nivea,Lăn khử mùi,lăn khử mùi,0.8959617614746094,True,1.6094379124341003,3,lăn khử mùi,0.8959617614746094,True,1.6094379124341003,3
Sữa đặc Ông Thọ,Sữa đặc,sữa đặc,0.24581004679203033,True,1.6094379124341003,2,sữa đặc,0.24581004679203033,True,1.6094379124341003,2
Kẹo Alpenliebe,Kẹo cứng,kẹo mút,0.27483367919921875,False,1.6094379124341003,1,kẹo mút,0.27483484148979187,False,1.6094379124341003,1
Snack Oishi,Snack,snack,0.567081093788147,True,1.6094379124341003,1,snack,0.567081093788147,True,1.6094379124341003,1
Sô cô la Hershey's,Sô cô la sữa,Hershey's,0.8809343576431274,False,1.6094379124341003,2,Hershey's,0.8809370994567871,False,1.6094379124341003,2
Chà bông heo,Chà bông heo,chà bông heo,0.9718981981277466,True,1.6094379124341003,3,chà bông heo,0.9718981981277466,True,1.6094379124341003,3
Pate cột đèn Hải Phòng,Pate gan,pate cột đèn,0.8706058859825134,False,1.6094379124341003,3,pate cột đèn,0.8706058859825134,False,1.6094379124341003,3
Giò me Nghệ An,Giò me,giò me,0.9030168056488037,True,1.6094379124341003,2,giò me,0.9030168056488037,True,1.6094379124341003,2
Bánh đậu xanh Rồng Vàng,Bánh đậu xanh,bánh đậu xanh,0.3364592492580414,True,1.6094379124341003,3,bánh đậu xanh,0.3364592492580414,True,1.6094379124341003,3
Trà Thái Nguyên,Trà Thái Nguyên,trà Thái Nguyên,0.6182478070259094,True,1.6094379124341003,3,trà Thái Nguyên,0.6182478070259094,True,1.6094379124341003,3
Rượu mơ Yên Tử,Rượu mơ,rượu mơ,0.5869020819664001,True,1.6094379124341003,2,rượu mơ,0.5869020819664001,True,1.6094379124341003,2
Nước khoáng Lavie,Nước khoáng,nước khoáng,0.36712977290153503,True,1.6094379124341003,2,nước khoáng,0.36712977290153503,True,1.6094379124341003,2
Pin tiểu Con Ó,Pin AA,pin AAA,0.09118124097585678,False,1.6094379124341003,1,pin AAA,0.09118124097585678,False,1.6094379124341003,1
Bóng đèn Rạng Đông,Bóng đèn LED,Rạng Đông,0.5113580226898193,False,1.6094379124341003,2,Rạng Đông,0.5113580226898193,False,1.6094379124341003,2
Ổ cắm điện Lioa,Ổ cắm,Ổ cắm,0.3270784020423889,True,1.6094379124341003,2,Ổ cắm,0.3270784020423889,True,1.6094379124341003,2
Thẻ nhớ SanDisk 128GB,Thẻ nhớ,thẻ nhớ,0.08386211097240448,True,1.6094379124341003,2,thẻ nhớ,0.08386211097240448,True,1.6094379124341003,2
Ốp lưng Iphone,Ốp lưng,Ốp lưng,0.6597424745559692,True,1.6094379124341003,2,Ốp lưng,0.6597424745559692,True,1.6094379124341003,2
Dây sạc Type C,Dây sạc Type C,Dây sạc Type C,0.9688432216644287,True,1.6094379124341003,4,Dây sạc Type C,0.9688432216644287,True,1.6094379124341003,4
Router Wifi TP-Link,Router,router,0.15118242800235748,True,1.6094379124341003,1,router,0.15118242800235748,True,1.6094379124341003,1
Webcam Logitech,Webcam,Webcam,0.2902068495750427,True,1.6094379124341003,1,Webcam,0.2902068495750427,True,1.6094379124341003,1
USB Kingston 64GB,USB,USB Kingston,0.24788162112236023,False,1.6094379124341003,2,USB Kingston,0.24788162112236023,False,1.6094379124341003,2
Loa Bluetooth JBL Go 3,Loa bluetooth,loa bluetooth,0.6185259819030762,True,1.6094379124341003,2,loa bluetooth,0.6185259819030762,True,1.6094379124341003,2
Sữa rửa tay khô Green Cross,Nước rửa tay khô,sữa rửa tay,0.21341079473495483,False,1.6094379124341003,3,sữa rửa tay,0.21341079473495483,False,1.6094379124341003,3
Khẩu trang y tế 4 lớp,Khẩu trang y tế,khẩu trang y tế,0.47392329573631287,True,1.6094379124341003,4,khẩu trang y tế,0.47392329573631287,True,1.6094379124341003,4
Găng tay cao su,Găng tay cao su,găng tay cao su,0.9186554551124573,True,1.6094379124341003,4,găng tay cao su,0.9186554551124573,True,1.6094379124341003,4
Cồn 90 độ,Cồn 90 độ,cồn 90 độ,0.9772270321846008,True,1.6094379124341003,3,cồn 90 độ,0.9772270321846008,True,1.6094379124341003,3
Băng gạc y tế,Băng gạc,băng gạc,0.609140932559967,True,1.6094379124341003,2,băng gạc,0.609140932559967,True,1.6094379124341003,2
Nhiệt kế điện tử Omron,Nhiệt kế điện tử,nhiệt kế điện tử,0.3464169204235077,True,1.6094379124341003,4,nhiệt kế điện tử,0.3464169204235077,True,1.6094379124341003,4
Máy đo huyết áp Microlife,Máy đo huyết áp điện tử,Microlife,0.7275646924972534,False,1.6094379124341003,1,Microlife,0.7275628447532654,False,1.6094379124341003,1
Que thử thai Quickstick,Que thử thai,que thử thai,0.8303042054176331,True,1.6094379124341003,3,que thử thai,0.8303042054176331,True,1.6094379124341003,3
Gel bôi trơn KY,Gel bôi trơn,gel bôi trơn,0.9216006994247437,True,1.6094379124341003,3,gel bôi trơn,0.9216006994247437,True,1.6094379124341003,3
Dầu gội khô Batiste,Dầu gội khô,dầu gội khô,0.6389479637145996,True,1.6094379124341003,3,dầu gội khô,0.6389479637145996,True,1.6094379124341003,3
Xịt khoáng Avene,Xịt khoáng,xịt khoáng,0.6679643392562866,True,1.6094379124341003,2,xịt khoáng,0.6679643392562866,True,1.6094379124341003,2
Kem dưỡng ẩm Klairs,Kem dưỡng ẩm,kem dưỡng ẩm,0.4619114398956299,True,1.6094379124341003,3,kem dưỡng ẩm,0.4619114398956299,True,1.6094379124341003,3
Tẩy da chết Rosette,Tẩy da chết vật lý,Rosette,0.5925791263580322,False,1.6094379124341003,1,Rosette,0.592576801776886,False,1.6094379124341003,1
Sơn móng tay OPI,Sơn móng tay,sơn móng tay,0.7533165812492371,True,1.6094379124341003,3,sơn móng tay,0.7533165812492371,True,1.6094379124341003,3
Nước hoa hồng Thayers,Nước hoa hồng,nước hoa hồng,0.5597718358039856,True,1.6094379124341003,3,nước hoa hồng,0.5597718358039856,True,1.6094379124341003,3
Kẻ mắt Maybelline,Kẻ mắt nước,Maybelline,0.6324939131736755,False,1.6094379124341003,1,Maybelline,0.6325010061264038,False,1.6094379124341003,1
Phấn phủ Innisfree,Phấn phủ,phấn phủ,0.18817052245140076,True,1.6094379124341003,2,phấn phủ,0.18817052245140076,True,1.6094379124341003,2
Má hồng Canmake,Má hồng phấn,má hồng kem,0.8117798566818237,False,1.6094379124341003,2,má hồng kem,0.811778724193573,False,1.6094379124341003,2
Cọ trang điểm Real Techniques,Bộ cọ Real Techniques,bộ cọ Real Techniques,0.9813864231109619,True,1.6094379124341003,3,bộ cọ Real Techniques,0.9813864231109619,True,1.6094379124341003,3
Vali size 20,Vali size 20,Vali size 20,0.9961981177330017,True,1.6094379124341003,3,Vali size 20,0.9961981177330017,True,1.6094379124341003,3
Balo laptop,Balo laptop,balo laptop,0.9276717305183411,True,1.6094379124341003,2,balo laptop,0.9276717305183411,True,1.6094379124341003,2
Túi ngủ văn phòng,Túi ngủ,túi ngủ,0.5694538354873657,True,1.6094379124341003,2,túi ngủ,0.5694538354873657,True,1.6094379124341003,2
Giày đi mưa,Giày đi mưa,giày đi mưa,0.839322566986084,True,0.916290731874155,3,giày đi mưa,0.839322566986084,True,0.916290731874155,3
Áo mưa bộ,Áo mưa bộ,áo mưa bộ,0.9440428614616394,True,1.6094379124341003,3,áo mưa bộ,0.9440428614616394,True,1.6094379124341003,3
Mũ bảo hiểm 3/4,Mũ bảo hiểm 3/4,mũ bảo hiểm 3/4,0.9630239605903625,True,1.6094379124341003,5,mũ bảo hiểm 3/4,0.9630239605903625,True,1.6094379124341003,5
Găng tay xe máy,Găng tay xe máy,găng tay xe máy,0.9544525742530823,True,1.6094379124341003,4,găng tay xe máy,0.9544525742530823,True,1.6094379124341003,4
Khóa chống trộm xe máy,Khóa chống trộm,khóa chống trộm,0.5868033170700073,True,1.6094379124341003,3,khóa chống trộm,0.5868033170700073,True,1.6094379124341003,3
Nhớt xe máy Motul,Nhớt Motul,nhớt Motul,0.4885116517543793,True,1.6094379124341003,2,nhớt Motul,0.48850858211517334,True,1.6094379124341003,2
Lốp xe Michelin,Lốp Michelin,lốp Michelin,0.8699507713317871,True,1.6094379124341003,2,lốp Michelin,0.8699507713317871,True,1.6094379124341003,2
Bugi NGK,Bugi,Bugi,0.7832902669906616,True,1.6094379124341003,1,Bugi,0.7832902669906616,True,1.6094379124341003,1
Đèn pin siêu sáng,Đèn pin,Đèn pin,0.3688673973083496,True,1.6094379124341003,2,Đèn pin,0.3688673973083496,True,1.6094379124341003,2
Dao đa năng Leatherman,Dao đa năng,dao đa năng,0.44299155473709106,True,1.6094379124341003,3,dao đa năng,0.44299155473709106,True,1.6094379124341003,3
Bật lửa Zippo,Bật lửa,Bật lửa,0.3644428253173828,True,1.6094379124341003,2,Bật lửa,0.3644428253173828,True,1.6094379124341003,2
Thảm tập yoga,Thảm tập yoga,Thảm tập,0.6452895402908325,False,1.6094379124341003,2,Thảm tập,0.6452895402908325,False,1.6094379124341003,2
Tạ tay 5kg,Tạ đơn,tạ đòn,0.11824580281972885,False,1.6094379124341003,1,tạ đòn,0.11824551969766617,False,1.6094379124341003,1
Giày chạy bộ Asics,Giày chạy bộ,Giày chạy bộ,0.22013495862483978,True,1.6094379124341003,3,Giày chạy bộ,0.22013495862483978,True,1.6094379124341003,3
Vợt cầu lông Yonex,Vợt cầu lông,Vợt cầu lông,0.5996758341789246,True,1.6094379124341003,3,Vợt cầu lông,0.5996758341789246,True,1.6094379124341003,3
Bóng rổ Molten,Bóng rổ,Bóng rổ,0.3319590091705322,True,1.6094379124341003,2,Bóng rổ,0.3319590091705322,True,1.6094379124341003,2
Đàn guitar Yamaha,Đàn guitar acoustic,đàn guitar classic,0.07426231354475021,False,1.6094379124341003,2,đàn guitar classic,0.07426310330629349,False,1.6094379124341003,2
Sáo trúc,Sáo,Sáo,0.4892590045928955,True,1.6094379124341003,1,Sáo,0.4892590045928955,True,1.6094379124341003,1
Tranh sơn dầu,Tranh sơn dầu,tranh sơn dầu,0.9850413203239441,True,1.6094379124341003,3,tranh sơn dầu,0.9850413203239441,True,1.6094379124341003,3
Màu nước Pentel,Màu nước,màu nước,0.4030323624610901,True,1.6094379124341003,2,màu nước,0.4030323624610901,True,1.6094379124341003,2
Đất nặn Play-Doh,Đất nặn,Đất nặn,0.5481672883033752,True,1.6094379124341003,2,Đất nặn,0.5481672883033752,True,1.6094379124341003,2
Thức ăn cho chó Royal Canin,Thức ăn hạt,sữa cho chó,0.06835877150297165,False,1.6094379124341003,2,sữa cho chó,0.06835931539535522,False,1.6094379124341003,2
Thức ăn cho mèo Whiskas,Thức ăn hạt,sữa cho mèo,0.36086374521255493,False,1.6094379124341003,2,sữa cho mèo,0.36086684465408325,False,1.6094379124341003,2
Cát vệ sinh cho mèo,Cát vệ sinh cho mèo,nhà vệ sinh cho mèo,0.9323774576187134,False,1.6094379124341003,4,nhà vệ sinh cho mèo,0.9323769807815552,False,1.6094379124341003,4
Lồng chim,Lồng chim,lồng chim,0.8711129426956177,True,1.6094379124341003,2,lồng chim,0.8711129426956177,True,1.6094379124341003,2
Bể cá mini,Bể cá,Bể cá,0.3093414604663849,True,1.6094379124341003,2,Bể cá,0.3093414604663849,True,1.6094379124341003,2
Hạt giống rau mầm,Hạt giống rau,hạt giống rau,0.6316528916358948,True,1.6094379124341003,3,hạt giống rau,0.6316528916358948,True,1.6094379124341003,3
Phân bón hữu cơ,Phân hữu cơ,phân hữu cơ,0.4816912114620209,True,1.6094379124341003,3,phân hữu cơ,0.48168954253196716,True,1.6094379124341003,3
Chậu cây cảnh,Chậu cây cảnh,đôn kê chậu,0.5434286594390869,False,1.6094379124341003,1,đôn kê chậu,0.5434286594390869,False,1.6094379124341003,1
Thuốc diệt muỗi Jumbo,Thuốc diệt muỗi,thuốc diệt muỗi,0.7337579131126404,True,1.6094379124341003,3,thuốc diệt muỗi,0.7337579131126404,True,1.6094379124341003,3
Nước lau sàn Gift,Nước lau sàn,nước lau sàn,0.6533215641975403,True,1.6094379124341003,3,nước lau sàn,0.6533215641975403,True,1.6094379124341003,3
Tẩy bồn cầu Vim,Tẩy bồn cầu,Tẩy bồn cầu,0.9126304984092712,True,1.6094379124341003,3,Tẩy bồn cầu,0.9126304984092712,True,1.6094379124341003,3
Sáp thơm Glade,Sáp thơm,Sáp thơm,0.7188007235527039,True,1.6094379124341003,2,Sáp thơm,0.7188007235527039,True,1.6094379124341003,2
Bao rác đen,Bao rác,bao rác,0.778287947177887,True,1.6094379124341003,2,bao rác,0.778287947177887,True,1.6094379124341003,2
Chổi lau nhà 360 độ,Chổi lau nhà,chổi lau nhà,0.5978516340255737,True,1.6094379124341003,3,chổi lau nhà,0.5978516340255737,True,1.6094379124341003,3
Thớt gỗ,Thớt gỗ,thớt gỗ,0.9513885974884033,True,1.6094379124341003,2,thớt gỗ,0.9513885974884033,True,1.6094379124341003,2
Dao làm bếp,Dao thái,Dao gọt,0.16163919866085052,False,1.6094379124341003,1,Dao gọt,0.1616419106721878,False,1.6094379124341003,1
Nồi inox Sunhouse,Nồi inox,nồi inox,0.21393105387687683,True,1.6094379124341003,2,nồi inox,0.21393105387687683,True,1.6094379124341003,2
Chảo chống dính Tefal,Chảo chống dính,chảo chống dính,0.47889629006385803,True,1.6094379124341003,3,chảo chống dính,0.47889629006385803,True,1.6094379124341003,3
Bát ăn cơm Bát Tràng,Bát ăn cơm,Bát,0.2873128056526184,False,1.0986122886681098,1,Bát,0.2873128056526184,False,1.0986122886681098,1
Đũa gỗ,Đũa gỗ,đũa gỗ,0.8717368841171265,True,1.6094379124341003,2,đũa gỗ,0.8717368841171265,True,1.6094379124341003,2
Ấm siêu tốc Philips,Ấm siêu tốc,ấm siêu tốc,0.32104116678237915,True,1.6094379124341003,3,ấm siêu tốc,0.32104116678237915,True,1.6094379124341003,3
Máy xay sinh tố Panasonic,Máy xay sinh tố,Máy xay sinh tố,0.8204448819160461,True,1.6094379124341003,4,Máy xay sinh tố,0.8204448819160461,True,1.6094379124341003,4
Bình giữ nhiệt Lock&Lock,Bình giữ nhiệt,Bình giữ nhiệt,0.5847066044807434,True,1.6094379124341003,3,Bình giữ nhiệt,0.5847066044807434,True,1.6094379124341003,3
